lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
0.0005,0.0005,0.0005,4,,,,
,,,4,-20.613191604614258,0.9406626224517822,1.1511259078979492,0
0.0005,0.0005,0.0005,9,,,,
,,,9,-27.507244110107422,0.9271398782730103,1.1382299661636353,0
0.0005,0.0005,0.0005,14,,,,
,,,14,-33.14237976074219,0.9137743711471558,1.126049518585205,0
0.0005,0.0005,0.0005,19,,,,
,,,19,-41.26211166381836,0.8996315598487854,1.1257091760635376,0
0.0005,0.0005,0.0005,24,,,,
,,,24,-45.88690948486328,0.8908852338790894,1.1330008506774902,0
0.0005,0.0005,0.0005,29,,,,
,,,29,-53.678688049316406,0.8779985308647156,1.1261532306671143,0
0.0005,0.0005,0.0005,34,,,,
,,,34,-63.794837951660156,0.8652139902114868,1.1282563209533691,0
0.0005,0.0005,0.0005,39,,,,
,,,39,-69.44412231445312,0.853481113910675,1.1092134714126587,0
0.0005,0.0005,0.0005,44,,,,
,,,44,-78.94155883789062,0.8352315425872803,1.102601170539856,0
0.0005,0.0005,0.0005,49,,,,
,,,49,-85.12653350830078,0.8233369588851929,1.1126590967178345,0
0.0005,0.0005,0.0005,54,,,,
,,,54,-91.63959503173828,0.8129518628120422,1.0864527225494385,0
0.0005,0.0005,0.0005,59,,,,
,,,59,-102.48637390136719,0.7929574847221375,1.0762548446655273,0
0.0005,0.0005,0.0005,64,,,,
,,,64,-107.63087463378906,0.7823942303657532,1.0888859033584595,0
0.0005,0.0005,0.0005,69,,,,
,,,69,-117.88976287841797,0.7639164924621582,1.0728036165237427,0
0.0005,0.0005,0.0005,74,,,,
,,,74,-124.75373077392578,0.7496485114097595,1.0639164447784424,0
0.0005,0.0005,0.0005,79,,,,
,,,79,-128.23858642578125,0.7341592907905579,1.0454803705215454,0
0.0005,0.0005,0.0005,84,,,,
,,,84,-147.25189208984375,0.71129310131073,1.0363831520080566,0
0.0005,0.0005,0.0005,89,,,,
,,,89,-146.3062744140625,0.6977657675743103,1.015568494796753,0
