lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
0.0005,0.0005,0.0005,4,,,,
,,,4,-20.673786163330078,0.9371338486671448,1.1340426206588745,0
0.0005,0.0005,0.0005,9,,,,
,,,9,-27.210920333862305,0.9257252216339111,1.1266934871673584,0
0.0005,0.0005,0.0005,14,,,,
,,,14,-36.47663879394531,0.9128757119178772,1.1174181699752808,0
0.0005,0.0005,0.0005,19,,,,
,,,19,-38.159576416015625,0.9011247754096985,1.12969172000885,0
0.0005,0.0005,0.0005,24,,,,
,,,24,-46.763092041015625,0.8902069330215454,1.1280819177627563,0
0.0005,0.0005,0.0005,29,,,,
,,,29,-58.47064971923828,0.8774797916412354,1.1295802593231201,0
0.0005,0.0005,0.0005,34,,,,
,,,34,-59.30915451049805,0.864050567150116,1.1171356439590454,0
0.0005,0.0005,0.0005,39,,,,
,,,39,-68.20272064208984,0.8513443470001221,1.1075830459594727,0
0.0005,0.0005,0.0005,44,,,,
,,,44,-78.8544692993164,0.8346444964408875,1.0995471477508545,0
0.0005,0.0005,0.0005,49,,,,
,,,49,-86.29698944091797,0.8210472464561462,1.0980812311172485,0
0.0005,0.0005,0.0005,54,,,,
,,,54,-90.2408447265625,0.8080093860626221,1.0850753784179688,0
0.0005,0.0005,0.0005,59,,,,
,,,59,-100.21611022949219,0.7895418405532837,1.0749014616012573,0
0.0005,0.0005,0.0005,64,,,,
,,,64,-108.04703521728516,0.7769343852996826,1.0656126737594604,0
0.0005,0.0005,0.0005,69,,,,
,,,69,-122.21229553222656,0.7567493915557861,1.0570728778839111,0
0.0005,0.0005,0.0005,74,,,,
,,,74,-126.46739959716797,0.7420245409011841,1.0507243871688843,0
0.0005,0.0005,0.0005,79,,,,
,,,79,-130.80259704589844,0.7267409563064575,1.0266731977462769,0
0.0005,0.0005,0.0005,84,,,,
,,,84,-146.0092315673828,0.7043581008911133,1.0213985443115234,0
0.0005,0.0005,0.0005,89,,,,
,,,89,-147.53025817871094,0.6906996965408325,0.9975799322128296,0
0.0005,0.0005,0.0005,94,,,,
,,,94,-155.70382690429688,0.670448362827301,0.9899747967720032,0
0.0005,0.0005,0.0005,99,,,,
,,,99,-156.00245666503906,0.6554730534553528,0.9668583273887634,0
0.0005,0.0005,0.0005,104,,,,
,,,104,-164.0124969482422,0.6356810927391052,0.9565056562423706,0
0.0005,0.0005,0.0005,109,,,,
,,,109,-174.9746551513672,0.6132561564445496,0.9393092393875122,0
0.0005,0.0005,0.0005,114,,,,
,,,114,-174.84286499023438,0.5990890860557556,0.9158846735954285,0
0.0005,0.0005,0.0005,119,,,,
,,,119,-179.42820739746094,0.579186201095581,0.9034430980682373,0
0.0005,0.0005,0.0005,124,,,,
,,,124,-182.5033721923828,0.5593593120574951,0.8779330253601074,0
0.0005,0.0005,0.0005,129,,,,
,,,129,-183.58706665039062,0.5417876839637756,0.8551378846168518,0
0.0005,0.0005,0.0005,134,,,,
,,,134,-186.1737518310547,0.5237419605255127,0.8380627036094666,0
0.0005,0.0005,0.0005,139,,,,
,,,139,-194.13951110839844,0.5051165819168091,0.8146995306015015,0
0.0005,0.0005,0.0005,144,,,,
,,,144,-196.64283752441406,0.48560217022895813,0.8025230765342712,0
0.0005,0.0005,0.0005,149,,,,
